weight,weights,rel_weights,center_of_mass,normalized_center_of_mass,inertia,normalized_inertia
313,"{'top_left': 56, 'top_right': 0, 'bottom_left': 257, 'bottom_right': 0}","{'top_left': 0.07692307692307693, 'top_right': 0.0, 'bottom_left': 0.35302197802197804, 'bottom_right': 0.0}","(13.977635782747603, 39.108626198083066)","(0.27407128985779616, 0.6983683249657691)","(110.0073696781635, 45.65764680664291)","(0.033858839543909974, 0.01688522441074072)"
225,"{'top_left': 66, 'top_right': 0, 'bottom_left': 147, 'bottom_right': 12}","{'top_left': 0.08461538461538462, 'top_right': 0.0, 'bottom_left': 0.18846153846153846, 'bottom_right': 0.015384615384615385}","(16.017777777777777, 39.355555555555554)","(0.31407407407407406, 0.6559259259259259)","(142.0335802469136, 33.13746172839506)","(0.03817080898868949, 0.012254978449850244)"
210,"{'top_left': 31, 'top_right': 0, 'bottom_left': 179, 'bottom_right': 0}","{'top_left': 0.042582417582417584, 'top_right': 0.0, 'bottom_left': 0.24587912087912087, 'bottom_right': 0.0}","(14.533333333333333, 42.24285714285714)","(0.2849673202614379, 0.768051948051948)","(110.55530612244897, 52.21079365079364)","(0.035253605268638064, 0.019308725462571612)"
339,"{'top_left': 71, 'top_right': 37, 'bottom_left': 231, 'bottom_right': 0}","{'top_left': 0.09752747252747253, 'top_right': 0.050824175824175824, 'bottom_left': 0.3173076923076923, 'bottom_right': 0.0}","(15.914454277286136, 35.1622418879056)","(0.3120481230840419, 0.6393134888710109)","(102.79668641936634, 65.98383237180325)","(0.032779555618420386, 0.024402304871229012)"
264,"{'top_left': 40, 'top_right': 22, 'bottom_left': 112, 'bottom_right': 90}","{'top_left': 0.054945054945054944, 'top_right': 0.03021978021978022, 'bottom_left': 0.15384615384615385, 'bottom_right': 0.12362637362637363}","(19.170454545454547, 37.06060606060606)","(0.37589126559714797, 0.6738292011019285)","(104.91299357208449, 88.83836949035812)","(0.033454398460486125, 0.0328544265866709)"
197,"{'top_left': 30, 'top_right': 0, 'bottom_left': 141, 'bottom_right': 26}","{'top_left': 0.04120879120879121, 'top_right': 0.0, 'bottom_left': 0.1936813186813187, 'bottom_right': 0.03571428571428571}","(14.01015228426396, 39.131979695431475)","(0.2747088683189012, 0.7114905399169359)","(100.76430724831869, 47.43136901234251)","(0.032131475525611825, 0.017541186764919565)"
278,"{'top_left': 106, 'top_right': 13, 'bottom_left': 137, 'bottom_right': 22}","{'top_left': 0.14560439560439561, 'top_right': 0.017857142857142856, 'bottom_left': 0.18818681318681318, 'bottom_right': 0.03021978021978022}","(14.787769784172662, 34.89568345323741)","(0.28995627027789533, 0.6344669718770438)","(134.89199575591323, 51.33985042182082)","(0.0430140292589009, 0.018986631073158587)"
305,"{'top_left': 53, 'top_right': 0, 'bottom_left': 252, 'bottom_right': 0}","{'top_left': 0.07280219780219781, 'top_right': 0.0, 'bottom_left': 0.34615384615384615, 'bottom_right': 0.0}","(14.419672131147541, 38.44918032786885)","(0.2827386692381871, 0.6990760059612519)","(99.01463047567859, 50.545186777747915)","(0.03157354288127506, 0.018692746589403814)"
294,"{'top_left': 56, 'top_right': 0, 'bottom_left': 238, 'bottom_right': 0}","{'top_left': 0.07692307692307693, 'top_right': 0.0, 'bottom_left': 0.3269230769230769, 'bottom_right': 0.0}","(14.54421768707483, 38.60204081632653)","(0.2851807389622516, 0.7018552875695733)","(112.43006386227961, 42.98273867370078)","(0.03585142342547182, 0.015895983237315378)"
300,"{'top_left': 50, 'top_right': 13, 'bottom_left': 101, 'bottom_right': 136}","{'top_left': 0.06868131868131869, 'top_right': 0.017857142857142856, 'bottom_left': 0.13873626373626374, 'bottom_right': 0.18681318681318682}","(20.55666666666667, 36.1)","(0.4030718954248366, 0.6563636363636364)","(86.48333333333333, 85.30012222222223)","(0.027577593537414968, 0.03154590318869165)"
273,"{'top_left': 53, 'top_right': 0, 'bottom_left': 220, 'bottom_right': 0}","{'top_left': 0.07280219780219781, 'top_right': 0.0, 'bottom_left': 0.3021978021978022, 'bottom_right': 0.0}","(14.208791208791208, 37.75091575091575)","(0.2786037491919845, 0.674123495552067)","(111.2932683921695, 46.831864106589386)","(0.034254622466041704, 0.017319476370780098)"
343,"{'top_left': 51, 'top_right': 0, 'bottom_left': 253, 'bottom_right': 39}","{'top_left': 0.07005494505494506, 'top_right': 0.0, 'bottom_left': 0.3475274725274725, 'bottom_right': 0.05357142857142857}","(16.0466472303207, 39.02040816326531)","(0.31464014177099414, 0.7094619666048237)","(88.79550187421908, 66.02697855485384)","(0.028314892179279044, 0.02441826129987198)"
325,"{'top_left': 70, 'top_right': 0, 'bottom_left': 255, 'bottom_right': 0}","{'top_left': 0.09615384615384616, 'top_right': 0.0, 'bottom_left': 0.35027472527472525, 'bottom_right': 0.0}","(13.892307692307693, 36.87692307692308)","(0.2723981900452489, 0.6704895104895104)","(90.80331360946745, 48.803786982248525)","(0.02895513826832508, 0.018048737789293095)"
239,"{'top_left': 39, 'top_right': 0, 'bottom_left': 173, 'bottom_right': 27}","{'top_left': 0.05, 'top_right': 0.0, 'bottom_left': 0.22179487179487178, 'bottom_right': 0.03461538461538462}","(18.9581589958159, 39.71129707112971)","(0.37172860776109606, 0.6618549511854951)","(109.82041630923828, 52.75138740568268)","(0.029513683501542133, 0.019508649188492114)"
243,"{'top_left': 53, 'top_right': 0, 'bottom_left': 190, 'bottom_right': 0}","{'top_left': 0.07280219780219781, 'top_right': 0.0, 'bottom_left': 0.260989010989011, 'bottom_right': 0.0}","(15.362139917695472, 37.477366255144034)","(0.30121842975873475, 0.681406659184437)","(103.89557824857322, 37.75362834256295)","(0.03312996755375421, 0.01396214065923186)"
174,"{'top_left': 54, 'top_right': 0, 'bottom_left': 120, 'bottom_right': 0}","{'top_left': 0.07417582417582418, 'top_right': 0.0, 'bottom_left': 0.16483516483516483, 'bottom_right': 0.0}","(9.425287356321839, 35.43103448275862)","(0.18480955600631055, 0.6442006269592476)","(110.93489892984543, 29.03752146915048)","(0.03537464889344561, 0.01073872835397577)"
240,"{'top_left': 54, 'top_right': 0, 'bottom_left': 186, 'bottom_right': 0}","{'top_left': 0.07417582417582418, 'top_right': 0.0, 'bottom_left': 0.2554945054945055, 'bottom_right': 0.0}","(15.825, 36.925)","(0.31029411764705883, 0.6713636363636363)","(104.05270833333334, 43.669374999999995)","(0.033180072810374155, 0.01614991678994083)"
223,"{'top_left': 31, 'top_right': 0, 'bottom_left': 192, 'bottom_right': 0}","{'top_left': 0.042582417582417584, 'top_right': 0.0, 'bottom_left': 0.26373626373626374, 'bottom_right': 0.0}","(11.130044843049328, 37.55156950672646)","(0.21823617339312407, 0.6827558092132083)","(74.29218363530335, 45.243178024894924)","(0.023690109577583975, 0.01673194453583392)"
329,"{'top_left': 35, 'top_right': 0, 'bottom_left': 232, 'bottom_right': 62}","{'top_left': 0.04807692307692308, 'top_right': 0.0, 'bottom_left': 0.31868131868131866, 'bottom_right': 0.08516483516483517}","(17.869300911854104, 37.94224924012158)","(0.35037844925204126, 0.6898590770931197)","(67.59240953058455, 41.378054526473335)","(0.021553702018681297, 0.015302534958015286)"
280,"{'top_left': 37, 'top_right': 13, 'bottom_left': 173, 'bottom_right': 57}","{'top_left': 0.050824175824175824, 'top_right': 0.017857142857142856, 'bottom_left': 0.23763736263736263, 'bottom_right': 0.0782967032967033}","(17.735714285714284, 36.339285714285715)","(0.34775910364145657, 0.6607142857142857)","(70.55274234693879, 66.24443877551019)","(0.022497685697365682, 0.0244986829791088)"
283,"{'top_left': 50, 'top_right': 4, 'bottom_left': 185, 'bottom_right': 44}","{'top_left': 0.06868131868131869, 'top_right': 0.005494505494505495, 'bottom_left': 0.2541208791208791, 'bottom_right': 0.06043956043956044}","(15.742049469964664, 37.448763250883395)","(0.3086676366659738, 0.6808866045615163)","(93.89401790508062, 73.31508696575061)","(0.02994069448503846, 0.027113567664848598)"
358,"{'top_left': 55, 'top_right': 0, 'bottom_left': 229, 'bottom_right': 74}","{'top_left': 0.07554945054945054, 'top_right': 0.0, 'bottom_left': 0.31456043956043955, 'bottom_right': 0.10164835164835165}","(19.39664804469274, 39.726256983240226)","(0.38032643224887724, 0.7222955815134586)","(97.41109828032832, 82.5801004962392)","(0.03106221246183939, 0.0305399779941713)"
